Dis No,Year,Seq,Disaster Subgroup,Disaster Type,Disaster Subtype,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,Total Affected,Total Damages Adj
1966-0026-GRC,1966,26,Geophysical,Earthquake,Ground movement,Greece,GRC,Southern Europe,Europe,Eurytania region,,,6,Richter,39.2,22.0,1966,2,5,1966,2,5,1,11050,36065
1966-0068-GRC,1966,68,Geophysical,Earthquake,Ground movement,Greece,GRC,Southern Europe,Europe,"Megalopos,  Central Greece",,,6,Richter,37.5,22.1,1966,9,1,1966,9,1,1,15123,126229
1967-0101-IDN,1967,101,Geophysical,Earthquake,Ground movement,Indonesia,IDN,South-Eastern Asia,Asia,"Makassar Strait, Tinambung (South Sulawesi)",,Tsunami/Tidal wave,6,Richter,-3.7,119.3,1967,4,11,1967,4,11,71,100,0
1967-0075-ALB,1967,75,Geophysical,Earthquake,Ground movement,Albania,ALB,Southern Europe,Europe,Shupenze (Albania-Yugo Border),,,7,Richter,41.39,20.53,1967,11,30,1967,11,30,11,134,175461
1967-0020-COL,1967,20,Geophysical,Earthquake,Ground movement,Colombia,COL,South America,Americas,"Neiva (Huila deparment), Rivera, San Antonio",,,7,Richter,2.85,-74.8,1967,2,9,1967,2,9,61,40200,5264
1967-0131-FRA,1967,131,Geophysical,Earthquake,Ground movement,France,FRA,Western Europe,Europe,"Arette, Lanne, Montory, Aramits, Haux, Sunhar (Pyrinees-Atlantiques)",,,5,Richter,43.2,-0.5,1967,8,13,1967,8,13,1,1100,0
1967-0032-GRC,1967,32,Geophysical,Earthquake,Ground movement,Greece,GRC,Southern Europe,Europe,North West Mountains,,,6,Richter,39.5,21.2,1967,5,1,1967,5,1,9,16583,43865
1967-0102-IDN,1967,102,Geophysical,Earthquake,Ground movement,Indonesia,IDN,South-Eastern Asia,Asia,"Dampit, Gondang, Trenggalek, Malang (East Java)",,,6,Richter,-8.96,113.02,1967,2,20,1967,2,20,54,8411,0
1967-0077-IND,1967,77,Geophysical,Earthquake,Ground movement,India,IND,Southern Asia,Asia,"Maharashtra, Koynana",,,7,Richter,17.41,73.89,1967,12,11,1967,12,11,177,52272,3509
1968-0032-GRC,1968,32,Geophysical,Earthquake,Ground movement,Greece,GRC,Southern Europe,Europe,"Limnos, Agios Efstratios",,Tsunami/Tidal wave,7,Richter,39.37,24.96,1968,2,20,1968,2,20,19,7618,5048
1968-0077-AUS,1968,77,Geophysical,Earthquake,Ground movement,Australia,AUS,Australia and New Zealand,Oceania,"Perth, Meckering, Northam, Cunderdin",,,7,Richter,-31.57,117.07,1968,10,14,1968,10,14,0,4290,21875
1968-0064-IDN,1968,64,Geophysical,Earthquake,Tsunami,Indonesia,IDN,South-Eastern Asia,Asia,Donggala,Earthquake,,8,Richter,0.16,119.8,1968,8,15,1968,8,15,200,0,0
1969-0082-CHN,1969,82,Geophysical,Earthquake,Ground movement,China,CHN,Eastern Asia,Asia,"Tientsin (Swatow province), Yangjiang county (Huangdong province)",,,6,Richter,22.32,111.8,1969,7,26,1969,7,26,3000,53810,0
1969-0061-ETH,1969,61,Geophysical,Earthquake,Ground movement,Ethiopia,ETH,Eastern Africa,Africa,Sardo,,,6,Richter,11.9,41.21,1969,3,29,1969,3,29,24,585,2553
1969-0052-IDN,1969,52,Geophysical,Earthquake,Tsunami,Indonesia,IDN,South-Eastern Asia,Asia,"Parasanga, Paletoang (Sulawesi)",Earthquake,,7,Richter,-3.2,118.9,1969,2,23,1969,2,23,64,6532,0
1970-0010-CHN,1970,10,Geophysical,Earthquake,Ground movement,China,CHN,Eastern Asia,Asia,Yunnan province,,,7,Richter,24.18,102.54,1970,1,4,1970,1,4,10000,0,0
1970-0051-COL,1970,51,Geophysical,Earthquake,Ground movement,Colombia,COL,South America,Americas,Pereira (Bahia Solano),,,7,Richter,6.38,-77.44,1970,9,25,1970,9,25,0,3006,3015
1970-0067-ECU,1970,67,Geophysical,Earthquake,Ground movement,Ecuador,ECU,South America,Americas,Loja province,,,7,Richter,-4.03,-80.54,1970,12,9,1970,12,9,29,88112,30151
1970-0112-IND,1970,112,Geophysical,Earthquake,Ground movement,India,IND,Southern Asia,Asia,Broach,,,5,Richter,21.7,73.0,1970,3,23,1970,3,23,26,200,0
1971-0042-CHL,1971,42,Geophysical,Earthquake,Ground movement,Chile,CHL,South America,Americas,"Valparaiso, Salamnca, Coquimbo",,Tsunami/Tidal wave,8,Richter,-32.6,-71.08,1971,7,9,1971,7,9,85,2348973,1708588
1973-0024-CRI,1973,24,Geophysical,Earthquake,Ground movement,Costa Rica,CRI,Central America,Americas,"South Laguna Arenal, Tilaran, Arenal, Rio Chiquito",,,7,Richter,10.68,-84.76,1973,4,14,1973,4,14,21,3745,1318
1974-0025-CHN,1974,25,Geophysical,Earthquake,Ground movement,China,CHN,Eastern Asia,Asia,"Yunnan, Sichuan",,,7,Richter,28.4,104.1,1974,5,11,1974,5,11,20000,0,0
1975-0017-CHN,1975,17,Geophysical,Earthquake,Ground movement,China,CHN,Eastern Asia,Asia,Anshan Liaoning province,,,7,Richter,40.64,122.58,1975,2,4,1975,2,4,2000,0,0
1975-0014-IND,1975,14,Geophysical,Earthquake,Ground movement,India,IND,Southern Asia,Asia,"Kinnaur district, Kashmir; Himachal Pradesh",,,7,Richter,32.46,78.43,1975,1,19,1975,1,19,47,0,0
1976-0028-AFG,1976,28,Geophysical,Earthquake,Ground movement,Afghanistan,AFG,Southern Asia,Asia,Shamagan province (Hindu Kush),,,6,Richter,36.61,67.79,1976,3,19,1976,3,19,50,90000,0
1976-0050-CHN,1976,50,Geophysical,Earthquake,Ground movement,China,CHN,Eastern Asia,Asia,"Tangshan, Pek.,Tientsin",,,8,Richter,39.57,117.98,1976,7,28,1976,7,28,242000,164000,28798371
1976-0055-CHN,1976,55,Geophysical,Earthquake,Ground movement,China,CHN,Eastern Asia,Asia,"Szechwan, Chengtu",,,0,Richter,30.37,104.06,1976,8,16,1976,8,16,0,0,0
1976-0033-ECU,1976,33,Geophysical,Earthquake,Ground movement,Ecuador,ECU,South America,Americas,Esmeraldas,,,7,Richter,0.78,79.8,1976,4,9,1976,4,9,10,0,20570
1976-0068-ECU,1976,68,Geophysical,Earthquake,Ground movement,Ecuador,ECU,South America,Americas,Cotopaxi Pinchincha province,,,0,Richter,0.14,78.3,1976,10,4,1976,10,4,10,20000,102851
1976-0024-GTM,1976,24,Geophysical,Earthquake,Ground movement,Guatemala,GTM,Central America,Americas,"Guatemala city, Chimaltenango",,,8,Richter,15.32,-89.1,1976,2,4,1976,2,4,23000,4993000,5142566
1976-0043-IDN,1976,43,Geophysical,Earthquake,Ground movement,Indonesia,IDN,South-Eastern Asia,Asia,Wanena Region (Irian Jaya),,,7,Richter,-4.6,140.09,1976,6,26,1976,6,26,420,15000,128564
1976-0047-IDN,1976,47,Geophysical,Earthquake,Ground movement,Indonesia,IDN,South-Eastern Asia,Asia,Bali,,,7,Richter,-8.17,114.89,1976,7,14,1976,7,14,573,454755,1002800
